id,age,sex,salary,height cms,weight kgs
151,19,M,99472.05,173,212
152,51,M,108743.29,141,296
153,51,F,44073.72,132,175
154,53,F,96178.48,179,164
155,67,F,162456.95,150,274
156,59,F,163377.11,226,215
157,42,M,23439.92,131,149
158,48,F,56741.52,242,104
159,70,M,59149.12,227,257
160,31,F,43882.81,246,112
161,52,M,83865.02,143,122
162,19,M,71231.35,163,271
163,62,M,190651.34,195,288
164,24,F,181061.56,250,231
165,36,F,91764.0,193,211
166,40,M,36149.55,187,177
167,27,F,86304.73,209,251
168,51,M,65860.41,132,221
169,63,F,47408.11,201,183
170,27,M,64611.83,180,159
171,64,M,137376.5,177,137
172,68,F,30307.97,133,154
173,21,M,108064.28,219,130
174,68,M,167812.83,122,251
175,35,F,105016.13,225,56
176,65,M,186142.23,145,50
177,54,F,28937.14,231,100
178,23,F,17603.76,122,211
179,31,M,73979.06,197,188
180,36,M,36471.7,242,289
181,57,F,63401.62,191,292
182,62,M,125370.0,228,72
183,50,F,189216.17,215,50
184,51,F,162211.85,143,118
185,32,F,83541.49,150,176
186,26,F,17671.68,213,183
187,55,F,170733.8,176,178
188,60,M,98430.75,206,111
189,18,M,84032.88,214,180
190,61,M,27201.6,120,278
191,47,M,78372.01,145,300
192,28,F,181465.11,219,220
193,52,M,177470.23,196,160
194,20,M,180735.96,182,158
195,23,M,66201.79,178,249
196,38,M,68564.58,177,104
197,18,M,105899.13,131,63
198,21,M,21348.32,163,293
199,26,F,74461.81,204,213
200,48,F,16297.79,141,59
201,33,M,198600.74,229,142
202,66,M,167346.5,130,124
203,27,F,17731.65,121,208
204,54,M,125762.6,222,167
205,60,F,107266.98,235,191
206,28,M,57062.49,223,128
207,38,F,82979.56,183,292
208,37,F,122735.71,243,291
209,44,M,88951.23,159,185
210,46,F,149866.61,193,296
211,29,F,59848.88,203,72
212,20,M,179249.41,178,157
213,62,M,18780.88,168,243
214,27,F,174676.24,235,162
215,69,M,106338.26,132,64
216,41,F,95316.59,209,250
217,31,F,112952.95,232,192
218,33,M,169257.96,189,298
219,37,M,118141.1,155,212
220,20,M,107506.57,147,89
221,43,F,194079.68,249,186
222,59,F,120849.55,175,249
223,36,F,140367.6,192,79
224,26,M,179948.34,163,59
225,57,M,99681.21,233,230
226,27,M,176860.38,146,86
227,19,F,183070.82,210,50
228,37,F,60624.0,134,227
229,58,F,44331.02,212,129
230,62,F,167034.2,236,69
231,26,F,199020.57,142,191
232,51,M,100412.17,225,143
233,59,M,140453.0,190,168
234,43,F,36957.72,138,71
235,61,F,26761.96,128,203
236,27,M,37686.88,217,217
237,52,F,147679.55,219,101
238,39,M,68035.08,161,138
239,20,F,60218.39,214,52
240,21,F,108668.1,215,134
241,67,M,49726.1,236,162
242,70,M,116074.0,194,174
243,22,M,78899.17,238,131
244,52,F,34275.08,209,278
245,46,F,96057.44,157,203
246,69,F,64362.97,151,249
247,53,M,34651.56,247,254
248,35,M,24460.14,120,172
249,22,F,112996.65,242,191
250,25,F,15849.08,196,108
251,69,F,77952.8,222,213
252,37,M,109904.14,123,251
253,46,M,141449.1,162,288
254,69,F,81054.95,176,252
255,59,M,146480.6,233,85
256,18,F,89686.4,139,169
257,27,M,78600.36,199,142
258,31,M,52107.39,198,56
259,70,F,171675.14,234,184
260,30,M,72822.2,213,293
261,53,M,101879.39,168,278
262,49,M,141800.75,163,115
263,43,F,40308.94,151,65
264,66,M,165105.48,184,136
265,69,F,89494.16,170,226
266,66,F,152256.81,132,204
267,51,F,196273.34,121,72
268,62,M,174723.02,196,236
269,30,F,150153.97,129,90
270,41,M,27416.24,166,228
271,56,M,45589.37,132,202
272,47,M,163665.55,123,107
273,57,M,104180.29,157,239
274,32,F,197989.11,220,53
275,45,M,20292.47,207,202
276,51,M,161366.63,131,196
277,45,M,119179.64,239,92
278,33,M,76892.56,157,238
279,32,M,42109.28,144,264
280,23,F,77664.69,241,92
281,66,F,28582.82,164,55
282,20,F,89886.09,149,133
283,28,M,135714.82,190,134
284,61,M,197298.84,148,78
285,56,M,135881.77,153,159
286,53,F,170708.56,147,255
287,33,F,82564.32,121,278
288,45,M,196238.85,172,58
289,64,M,55776.56,230,267
290,41,M,109102.94,182,101
291,51,F,170159.73,162,237
292,57,F,94971.69,136,291
293,48,M,185092.02,149,161
294,27,F,15847.23,151,92
295,33,M,46880.32,198,72
296,65,M,132653.74,185,55
297,26,M,124215.68,193,237
298,36,M,88611.13,148,205
299,25,M,91112.95,142,169
300,39,F,128570.38,185,210
301,28,M,146871.0,151,63
302,20,M,198345.03,213,289
303,44,M,192220.22,146,81
304,48,F,20851.93,226,151
305,31,M,191044.21,238,245
306,62,M,61114.91,157,198
307,33,F,154100.08,190,92
308,43,F,172494.23,142,72
309,19,F,171935.4,149,117
310,18,F,89479.15,144,57
311,64,F,107107.59,187,71
312,41,M,35886.64,175,257
313,43,M,152060.83,168,80
314,66,F,18396.7,242,137
315,20,F,169020.04,223,116
316,50,M,53512.89,183,249
317,21,M,108612.81,131,265
318,22,M,166878.6,244,229
319,69,M,188111.34,195,224
320,63,M,127885.13,173,246
321,66,F,183522.04,169,166
322,40,F,78400.55,136,170
323,39,F,178401.28,169,188
324,53,F,55263.41,231,84
325,66,F,66187.34,183,296
326,25,F,182868.74,131,185
327,52,M,31910.39,219,157
328,68,M,150697.96,190,53
329,67,M,101688.25,187,110
330,69,F,125101.12,166,244
331,67,F,121818.92,170,298
332,58,M,181208.25,189,275
333,68,M,98497.31,215,189
334,60,F,26467.87,230,137
335,62,F,43823.24,134,174
336,58,M,140898.87,159,146
337,28,F,88857.27,172,242
338,40,M,50428.03,229,101
339,34,F,29525.17,240,146
340,60,F,103975.15,189,83
341,69,M,17445.42,200,187
342,67,M,86642.28,142,187
343,43,F,164293.26,172,103
344,38,M,158139.97,204,115
345,54,F,81538.41,149,182
346,32,M,35778.07,186,176
347,47,M,172767.84,188,93
348,65,F,37001.47,147,262
349,51,F,80834.24,226,154
350,63,F,167420.1,156,53
351,44,M,125016.7,167,178
352,57,F,65875.26,234,54
353,57,M,39952.26,159,146
354,49,F,46369.39,129,59
355,39,M,159631.05,176,55
356,39,F,185571.32,216,296
357,48,M,92140.11,218,122
358,25,M,76331.46,175,293
359,23,F,83561.59,213,216
360,59,F,71150.53,172,275
361,43,F,23140.79,139,240
362,31,F,105168.95,185,119
363,18,F,91905.15,122,125
364,56,M,112371.88,128,99
365,49,M,147955.54,250,73
366,61,F,188637.24,155,254
367,26,M,163396.74,146,236
368,44,M,50040.36,216,277
369,26,F,76691.95,173,179
370,32,M,66559.51,125,179
371,42,M,78601.03,212,125
372,37,F,168139.9,167,139
373,70,M,77185.07,211,221
374,68,F,121226.92,208,241
375,45,F,125416.66,235,257
376,56,F,187387.53,151,184
377,32,M,45415.48,133,167
378,30,F,172946.3,207,60
379,42,M,167702.93,144,144
380,51,M,165666.89,235,262
381,66,F,100089.74,217,158
382,25,F,192999.9,121,232
383,55,F,121784.07,126,256
384,40,F,186488.5,193,268
385,19,F,113749.23,191,228
386,29,M,77084.93,208,71
387,50,F,159688.53,152,262
388,22,M,29305.72,219,58
389,62,M,33639.05,153,239
390,53,M,193719.38,247,262
391,52,F,97053.71,224,150
392,69,F,54291.18,171,223
393,67,F,23089.18,202,72
394,36,F,199225.21,228,186
395,32,F,159274.1,232,274
396,35,F,51359.23,244,213
397,24,F,36252.59,154,165
398,53,F,112283.93,128,87
399,42,M,114853.43,186,267
400,35,F,118185.25,161,291
401,62,F,91675.24,160,221
402,64,F,185744.88,239,285
403,25,F,64049.52,202,67
404,57,M,145560.5,199,253
405,27,F,112631.64,132,190
406,51,M,18420.52,129,253
407,43,F,104139.92,225,295
408,33,M,169172.14,148,150
409,50,F,49038.74,133,123
410,32,F,54902.94,233,190
411,23,M,66149.81,149,237
412,52,F,167614.71,151,275
413,25,F,23940.33,155,157
414,39,M,85669.91,243,135
415,49,F,144123.45,246,221
416,36,F,115052.54,206,114
417,33,F,110075.28,229,124
418,63,F,32607.46,195,55
419,61,M,64183.45,211,162
420,66,F,96915.54,137,198
421,43,M,183685.79,248,284
422,33,F,46469.83,162,217
423,53,M,148680.48,125,266
424,28,F,76751.96,175,88
425,23,M,123349.4,165,256
426,29,M,20048.49,225,272
427,43,M,34752.26,187,299
428,20,F,21586.61,123,244
429,24,M,171767.06,125,80
430,33,M,70990.27,217,121
431,48,M,139066.11,235,284
432,49,F,94112.54,138,133
433,65,F,82413.49,216,92
434,45,F,164716.9,187,270
435,18,M,69887.56,166,217
436,68,M,91014.51,189,105
437,19,F,137391.33,129,115
438,27,M,151336.69,231,299
439,41,F,53102.41,135,224
440,40,F,64519.23,131,64
441,32,F,39196.87,186,147
442,43,F,15248.43,129,189
443,46,M,157735.09,181,110
444,49,M,49051.41,224,273
445,46,M,172572.69,145,139
446,26,M,120979.25,158,83
447,36,F,185119.13,167,284
448,20,M,198046.61,200,149
449,48,M,52485.22,145,102
450,64,F,23234.98,198,143
451,55,F,177286.84,196,64
452,30,F,166967.09,160,73
453,26,F,43282.1,157,101
454,22,F,27805.19,212,252
455,29,M,199895.75,243,296
456,23,F,179016.9,229,170
457,32,M,84950.89,124,297
458,66,M,138935.94,242,234
459,26,F,72342.07,156,91
460,50,M,81742.6,238,223
461,30,F,48830.95,179,89
462,21,F,173741.72,217,207
463,45,M,192618.75,188,197
464,48,M,134949.63,210,265
465,21,M,25998.99,204,261
466,65,M,138676.87,148,167
467,57,F,66073.11,214,99
468,47,M,27970.78,173,203
469,18,M,60309.08,190,124
470,40,F,29269.58,206,181
471,42,M,113522.0,214,60
472,47,F,49432.86,147,223
473,37,M,198612.07,168,68
474,42,F,28895.02,162,127
475,34,F,99734.43,237,247
476,45,M,188979.91,213,207
477,19,F,99881.59,223,256
478,27,F,69742.62,125,190
479,51,M,36381.31,213,217
480,59,M,174865.38,223,187
481,22,M,75699.03,243,116
482,32,F,59146.85,206,221
483,69,F,182296.63,224,277
484,60,F,190471.02,219,136
485,46,F,92336.23,180,72
486,53,M,157130.38,181,169
487,64,M,147697.68,227,63
488,39,F,105915.78,218,53
489,20,M,39289.09,231,59
490,52,F,111934.19,158,104
491,35,F,189515.62,241,210
492,22,F,117111.58,171,67
493,59,F,161303.87,221,51
494,43,M,115079.59,213,60
495,36,M,85670.24,159,260
496,49,F,134829.4,174,86
497,34,F,175223.82,133,251
498,61,M,130097.85,142,137
499,54,F,46901.38,204,296
500,67,F,112744.89,222,59
501,57,F,198289.29,162,259
502,18,F,59649.65,128,244
503,38,F,157813.24,233,266
504,59,M,15195.1,188,67
505,55,M,97473.47,235,207
506,45,M,47362.73,123,213
507,29,F,177325.78,137,260
508,58,M,62601.43,177,222
509,46,F,154157.28,140,160
510,35,M,195091.89,182,299
511,57,F,79611.36,225,211
512,69,F,180217.93,196,214
513,65,F,63864.47,191,134
514,57,F,79347.3,193,278
515,59,F,174402.42,190,220
516,46,F,138269.41,161,83
517,58,F,192936.27,176,244
518,70,F,157708.68,192,244
519,20,M,84862.57,222,242
520,60,F,181185.82,224,84
521,22,M,117430.5,209,82
522,25,M,143245.72,237,149
523,21,M,27247.25,234,81
524,40,M,161495.21,196,278
525,38,M,187208.51,186,261
526,68,F,32746.52,128,161
527,19,M,175198.57,193,215
528,47,M,137942.52,214,89
529,20,M,179405.85,174,139
530,64,M,54205.92,199,82
531,64,M,171372.22,238,258
532,32,M,179654.09,186,298
533,70,F,72788.26,194,266
534,49,F,81680.31,180,188
535,38,F,30389.68,212,234
536,25,M,106497.47,176,139
537,45,F,191862.35,175,118
538,30,F,163756.88,202,185
539,27,M,169617.5,224,224
540,35,F,158890.49,191,88
541,61,M,129738.45,127,124
542,29,F,38158.1,164,193
543,36,F,88018.22,241,249
544,40,M,100261.02,137,182
545,35,M,172981.19,153,215
546,21,F,96748.79,235,168
547,61,M,26815.81,137,108
548,62,F,103735.05,125,65
549,41,F,17903.81,162,284
550,67,M,123328.91,169,103
551,26,M,91666.26,170,108
552,52,M,160011.03,249,56
553,63,M,114770.94,205,90
554,47,F,145234.56,230,166
555,18,F,124125.61,240,182
556,37,F,44317.22,141,215
557,44,F,110456.96,150,135
558,42,F,197011.05,232,127
559,22,F,26337.59,248,295
560,24,F,34243.69,243,150
561,41,M,156197.57,247,83
562,45,F,180652.24,224,247
563,24,F,39710.31,222,249
564,43,F,59259.45,124,192
565,62,F,77754.48,120,293
566,56,M,190742.29,141,129
567,29,F,168868.21,198,222
568,39,F,137359.35,184,272
569,60,M,93345.5,213,105
570,36,M,32140.2,204,293
571,66,M,89811.98,205,140
572,59,F,22026.5,214,96
573,69,F,154104.46,185,193
574,38,F,128391.56,145,167
575,53,F,159759.67,187,157
576,68,F,114613.15,228,194
577,47,M,154786.81,163,252
578,69,F,116294.68,158,78
579,28,M,61697.78,193,269
580,21,M,185522.48,245,255
581,36,F,150196.77,237,196
582,47,F,123121.42,171,187
583,56,M,31878.26,167,197
584,59,M,95757.02,196,232
585,65,M,45312.19,198,82
586,45,M,106257.2,129,50
587,41,M,19312.01,143,108
588,18,F,115549.64,246,280
589,29,M,151908.06,244,72
590,25,F,55110.03,196,176
591,21,M,118908.96,184,65
592,27,M,44645.8,191,182
593,31,F,120454.3,231,115
594,59,M,125926.26,124,290
595,51,M,104723.57,143,113
596,58,M,135581.22,250,281
597,62,M,43422.22,174,164
598,30,M,86372.84,153,300
599,69,M,177468.98,211,237
600,68,M,157524.19,149,290
601,35,F,147935.1,173,234
602,22,M,174755.12,192,131
603,65,M,135645.28,128,201
604,41,M,67685.12,191,63
605,62,M,88452.86,208,203
606,68,F,71773.37,179,53
607,32,M,94183.61,192,202
608,23,M,83680.95,245,65
609,31,F,130291.95,133,290
610,31,M,54194.32,157,227
611,47,M,56819.54,245,124
612,21,F,144126.55,217,257
613,38,F,162057.79,223,97
614,45,F,124649.08,246,292
615,70,F,107041.25,164,203
616,40,F,18522.49,227,135
617,36,M,175068.22,144,284
618,46,F,61188.52,208,131
619,30,M,37209.77,250,298
620,55,F,156591.56,227,236
621,19,M,129763.95,160,92
622,61,F,95444.09,154,91
623,26,M,149181.27,125,115
624,29,M,55929.83,198,190
625,19,M,150509.42,205,118
626,68,M,25196.97,159,60
627,38,M,105433.3,156,239
628,30,M,98636.0,178,85
629,39,M,60622.54,218,275
630,67,M,94103.42,181,194
631,30,M,95690.6,235,160
632,18,M,188735.1,126,82
633,36,F,191428.13,191,109
634,56,M,20640.55,146,238
635,31,F,91217.99,198,159
636,24,M,168377.62,140,289
637,64,M,107142.35,197,203
638,22,M,77803.37,170,243
639,41,M,77917.18,191,171
640,21,F,55880.92,236,139
641,26,M,181696.02,165,54
642,25,F,19198.9,249,201
643,31,F,95712.37,155,265
644,18,M,54269.99,192,273
645,20,F,146693.5,131,275
646,67,F,69702.61,157,154
647,46,F,47091.26,219,218
648,42,M,165309.05,130,268
649,56,F,103807.41,208,239
650,69,F,60266.07,139,288
651,36,M,67481.14,123,52
652,58,M,121393.15,246,51
653,48,F,186094.53,163,127
654,36,F,138094.09,131,177
655,28,F,19968.35,204,273
656,56,M,18906.34,146,56
657,31,F,150937.21,243,130
658,47,F,59111.45,186,96
659,40,F,164074.44,228,78
660,45,F,97783.04,218,187
661,58,M,22916.77,248,232
662,39,M,140538.47,202,55
663,31,F,71075.24,209,261
664,43,M,162888.27,211,288
665,55,F,38225.31,235,263
666,40,F,77841.58,238,106
667,50,M,144039.51,185,138
668,47,F,117658.76,218,272
669,30,M,113124.34,235,237
670,63,M,22278.61,197,135
671,62,F,131499.65,151,254
672,57,M,16766.33,196,292
673,31,M,100826.97,203,190
674,37,M,78339.87,131,88
675,57,M,97725.86,236,133
676,20,M,16086.91,236,260
677,29,M,108709.77,242,113
678,59,M,136633.58,161,149
679,20,F,130580.31,179,119
680,30,F,176994.48,170,112
681,22,M,27393.69,182,264
682,43,M,159715.0,193,246
683,68,F,132328.46,215,241
684,69,M,166393.49,246,167
685,33,F,87274.38,199,284
686,44,M,38305.76,235,77
687,57,F,59703.5,192,298
688,56,M,148515.77,127,100
689,43,F,76368.02,193,203
690,38,F,126217.91,177,125
691,68,F,195126.02,234,115
692,40,M,184048.31,209,229
693,54,F,129211.77,190,292
694,68,F,193233.13,121,130
695,36,F,139478.76,249,268
696,37,F,179503.08,242,270
697,29,F,105428.49,171,87
698,62,M,71857.37,125,201
699,55,F,74024.02,249,201
700,59,M,119851.24,196,262
701,49,M,31293.84,146,84
702,57,M,175614.59,246,58
703,22,F,148219.12,235,133
704,70,M,69452.67,185,126
705,24,F,176057.42,173,120
706,46,M,134697.79,240,117
707,69,F,123388.53,198,234
708,33,F,25452.76,136,53
709,44,F,53593.14,121,294
710,60,M,53083.59,153,261
711,50,M,97369.55,174,217
712,43,F,43461.53,138,211
713,61,F,184093.1,240,172
714,58,M,22015.05,126,103
715,62,F,193799.31,157,54
716,64,F,123628.37,128,173
717,70,F,90255.0,151,101
718,36,M,84292.03,190,144
719,45,F,187878.64,160,116
720,44,M,101767.5,174,70
721,42,F,71852.52,212,257
722,59,M,123274.42,122,212
723,41,M,53592.67,135,284
724,31,F,106547.16,164,90
725,52,M,34238.18,154,107
726,38,F,110262.43,218,169
727,35,F,159519.52,199,212
728,67,M,151520.12,177,103
729,68,M,113432.49,157,167
730,19,M,168744.54,199,154
731,22,M,169264.44,177,97
732,31,M,93026.68,126,126
733,65,M,27368.84,210,289
734,49,F,178308.59,195,279
735,50,M,199298.46,179,218
736,41,M,163728.0,210,51
737,18,M,93777.27,152,230
738,61,F,43921.66,213,268
739,61,F,86020.27,132,227
740,28,F,128430.11,231,98
741,57,F,94635.18,208,86
742,67,F,130270.59,147,163
743,27,F,133672.19,221,80
744,68,F,191435.27,130,274
745,43,M,133779.08,214,214
746,61,M,170225.53,248,296
747,52,M,172527.32,167,276
748,55,M,139472.27,155,284
749,54,F,164509.68,211,261
750,40,M,58589.15,198,240
751,37,F,55333.05,167,223
752,53,F,197672.27,250,101
753,49,M,46297.22,179,60
754,24,M,129070.8,208,71
755,21,F,183661.69,198,296
756,38,M,154437.17,144,236
757,48,F,167396.76,220,276
758,33,F,24032.93,137,184
759,30,F,93558.18,136,218
760,36,M,26801.1,210,234
761,50,M,188347.07,225,228
762,31,M,166152.56,129,254
763,33,F,39541.94,203,233
764,18,F,55501.44,129,97
765,62,M,100774.15,217,54
766,28,F,32724.89,139,63
767,70,M,126324.07,134,73
768,43,M,64777.66,145,228
769,54,M,36547.82,137,182
770,67,F,113631.31,123,68
771,23,F,21105.7,235,277
772,34,M,107623.18,207,150
773,37,F,130492.46,237,202
774,31,F,132257.32,195,145
775,30,F,41732.74,138,87
776,20,M,154617.24,233,143
777,19,M,165976.19,193,201
778,65,F,118959.45,180,233
779,25,F,67661.7,156,105
780,50,M,112097.51,193,84
781,34,F,53120.18,209,224
782,20,F,187144.73,167,282
783,26,F,154622.41,195,157
784,65,M,24041.58,189,110
785,52,M,24680.66,220,272
786,29,M,52996.4,148,266
787,65,F,115955.81,249,191
788,20,M,160941.1,127,129
789,45,M,98628.47,248,71
790,63,F,65911.61,167,293
791,51,M,190631.18,240,134
792,21,M,117757.93,131,62
793,68,F,46597.94,169,235
794,39,M,172690.64,147,70
795,53,F,73032.61,178,83
796,38,F,112656.76,233,111
797,56,M,18495.43,137,274
798,36,M,173808.2,133,58
799,21,F,132851.75,215,133
800,53,F,122070.76,239,229
801,50,F,119765.31,129,63
802,61,M,30429.39,193,162
803,68,F,110343.68,201,50
804,49,M,125593.11,242,282
805,47,F,59605.91,129,239
806,22,M,175140.61,235,115
807,39,F,52543.28,242,170
808,34,M,88175.32,183,162
809,39,M,54865.8,123,58
810,40,F,49653.53,177,256
811,34,M,195173.84,169,154
812,27,M,70582.9,205,137
813,47,F,112607.96,186,209
814,22,M,154554.55,133,164
815,32,M,23624.91,199,269
816,28,M,39299.18,244,292
817,33,M,134209.72,121,71
818,54,F,191895.46,214,85
819,31,M,132560.66,185,208
820,67,F,66977.53,155,228
821,51,M,15668.96,245,92
822,70,M,190597.84,171,133
823,68,F,120259.91,137,252
824,67,F,181542.19,153,267
825,51,M,44664.81,221,86
826,21,M,95379.97,216,104
827,62,F,105227.15,224,77
828,39,M,114192.62,132,220
829,24,M,181123.59,181,116
830,64,M,89211.83,150,177
831,47,F,49125.01,169,86
832,20,F,94116.11,246,214
833,40,F,156615.46,138,205
834,21,F,156982.58,236,182
835,58,F,71615.33,224,200
836,32,M,36476.08,211,159
837,23,F,140669.19,198,241
838,26,M,30254.76,249,197
839,18,F,89361.09,238,127
840,19,M,99934.87,247,61
841,36,M,168302.22,192,60
842,22,M,132844.52,198,75
843,59,F,174897.98,250,290
844,66,F,176234.57,183,94
845,34,F,140948.09,164,112
846,18,M,63781.96,225,254
847,54,M,17380.52,187,143
848,47,F,172040.28,134,290
849,36,M,128676.01,239,267
850,65,F,165974.26,182,261
851,46,M,130962.85,153,159
852,37,F,190971.46,244,133
853,44,F,193382.37,144,204
854,68,F,141504.15,166,278
855,40,M,162623.13,192,162
856,65,F,127631.49,136,56
857,36,F,64788.97,125,133
858,53,M,171984.84,213,139
859,61,F,161968.54,186,105
860,27,M,81959.76,158,80
861,31,F,65551.78,134,196
862,56,F,133015.12,174,122
863,27,M,170763.58,220,298
864,43,F,143292.72,217,294
865,67,M,173535.01,178,233
866,65,M,35896.07,158,121
867,52,F,193194.19,132,144
868,68,F,47791.7,170,109
869,19,F,93396.02,158,130
870,44,F,137694.58,217,114
871,22,M,111203.35,178,64
872,22,M,121117.46,223,177
873,53,M,108208.52,157,285
874,32,F,130227.65,181,201
875,41,M,63065.13,183,74
876,36,M,132010.41,124,84
877,69,F,37540.07,250,200
878,45,M,77088.29,192,55
879,40,F,199755.96,144,146
880,49,F,25098.53,237,234
881,56,M,189025.0,233,183
882,31,F,120778.46,151,277
883,41,F,122295.81,154,202
884,42,M,163849.3,142,124
885,39,F,63835.75,174,228
886,50,M,186430.8,152,110
887,63,M,160812.0,194,85
888,19,M,155901.44,235,53
889,52,M,71786.33,179,230
890,57,M,144016.14,207,67
891,61,F,35968.29,211,228
892,46,M,147567.57,186,205
893,39,F,165265.47,227,53
894,47,M,127302.06,198,150
895,39,M,90855.39,250,204
896,52,F,57243.71,245,121
897,19,M,76967.36,161,174
898,52,M,66948.18,178,163
899,39,M,21977.11,178,153
900,45,F,15326.24,184,272
901,64,F,53949.25,157,75
902,69,F,119835.19,138,272
903,65,M,67332.75,197,234
904,25,F,72117.49,249,268
905,62,F,77102.63,241,57
906,48,F,160868.12,170,76
907,44,M,148941.12,143,66
908,64,F,179503.56,172,294
909,62,M,20232.01,138,217
910,19,M,55779.36,248,282
911,64,F,145947.5,250,212
912,39,F,188126.21,187,299
913,53,M,34006.71,241,104
914,19,F,84166.24,187,85
915,54,M,22830.55,198,245
916,70,F,58993.6,225,126
917,69,F,141222.0,192,73
918,25,F,174520.96,246,133
919,64,M,174422.04,249,56
920,48,F,90602.27,198,146
921,31,M,185151.56,219,293
922,38,M,30135.13,220,154
923,43,M,48332.45,233,217
924,25,F,18184.42,200,245
925,30,M,140597.18,190,283
926,19,F,103800.25,213,252
927,38,F,80389.06,242,221
928,45,F,161339.57,202,264
929,52,M,189542.0,171,112
930,46,M,112433.91,152,234
